id,question,category
40,"¿Qué baile ridiculo le enseñarías a la gente del futuro?",Situaciones
2,"¿Cuál sería tu poder más inútil para salvar el mundo?",Situaciones
3,"¿A qué supervillano le tendrías miedo enfrentar?",Situaciones
4,"¿Qué es lo primero que harías con superpoderes?",Situaciones
9,"¿A dónde desaparecerías si tuvieras un poder de teletransporte mágico?",Situaciones
10,"¿Cuál sería el lado negativo de tu superpoder favorito?",Situaciones
12,"¿Con qué arte culinario impresionarías si tuvieras poderes mágicos?",Situaciones
13,"¿Cuál sería tu peor secreto si todos descubrieran tu identidad como superhéroe?",Situaciones
14,"¿Qué aspecto negativo oculta tu superpoder más poderoso?",Situaciones
15,"¿Qué peligro correrías si nada pudiera lastimarte?",Situaciones
16,"¿A qué evento mundial asistirías si pudieras viajar con un poder?",Situaciones
18,"¿Qué admitirías en confesión si fueras un superhéroe anónimo?",Situaciones
23,"¿Si pudieras cambiar un pequeño evento de la historia para que todo fuera caótico cuál sería?",Situaciones
26,"¿A qué era histórica irías solo para ver cómo reaccionan ante un meme?",Situaciones
30,"¿En qué momento histórico sería más incómodo pedirle prestado dinero a alguien?",Situaciones
32,"¿A qué momento irías para arruinar algún experimento científico histórico por broma?",Situaciones
34,"¿En qué época te creerían si dijeras que eres un viajero temporal?",Situaciones
35,"¿A qué batalla histórica irías solo para filmarlo con tu celular?",Situaciones
36,"¿En qué epoca histórica te gustaría ser un ""influencer""?",Situaciones
37,"¿En qué momento del pasado introducirías la pizza como ""nuevo invento""?",Situaciones
38,"¿Qué mentira contarías en la antigua Roma para ser famoso?",Situaciones
43,"¿En qué competencia absurda ganarías fácilmente?",Situaciones
45,"¿Cuál sería tu marca mundial en algo ridículo?",Situaciones
52,"¿En qué deporte no profesional serías campeón mundial?",Situaciones
102,"¿Cuál sería tu estrategia si tienes que sobrevivir comiendo solo marshmallows?",Situaciones
103,"¿Qué haría un influencer si queda atrapado en una isla sin cobertura?",Situaciones
111,"¿A quién de tus amigos llamarías primero si te pierdes en la montaña?",Situaciones
118,"¿Cuál sería tu primer error si quedaras solo en la selva durante una semana?",Situaciones
120,"¿Qué harías primero en tu lista de prioridades si quedas perdido en una isla?",Situaciones
121,"Animales necesarios para formar una banda de rock completa",Cantidades
122,"Veces al día que usarías un superpoder de teletransportación si fuera gratis",Cantidades
123,"Stickers de WhatsApp que mostrarías a un chimpancé para que se ría",Cantidades
124,"Horas que dedicarías a practicar un baile si tu vida dependiera de ello",Cantidades
125,"Dulces que comerías en un día si no engordaran",Cantidades
128,"Veces que viajarías al pasado solo para cambiar un meme",Cantidades
129,"Productos del supermercado que comprarías si todo costara 1 centavo",Cantidades
132,"Idiomas que aprenderías si tuvieras memoria infinita",Cantidades
135,"Mascotas que tendrías si todos los animales fueran legales",Cantidades
137,"Amigos que llamarías si te perdieras en la montaña",Cantidades
138,"Marshmallows que comerías para sobrevivir una semana",Cantidades
139,"Prendas de ropa moderna que llevarías al antiguo Egipto",Cantidades
142,"Veces que has visto tu película favorita",Cantidades
144,"Horas que pasarías jugando videojuegos si no tuvieras que trabajar",Cantidades
146,"Veces que comerías pizza al mes si fuera gratis",Cantidades
