id,question,category
108,"¿Con qué cosa de tu habitación construirías un refugio en el bosque?",Supervivencia
109,"¿Qué artículo de ropa usarías como señal de emergencia?",Supervivencia
110,"¿Cuál sería tu forma más vergonzosa de encender fuego en la naturaleza?",Supervivencia
111,"¿A quién de tus amigos llamarías primero si te pierdes en la montaña?",Supervivencia
112,"¿Qué comida de tu casa llevarías si quedas atrapado en el bosque?",Supervivencia
113,"¿Cuál sería tu dulce favorito si solo pudieras comer eso para sobrevivir?",Supervivencia
114,"¿Cuál sería la canción que te enseñaría a sobrevivir mental y emocionalmente?",Supervivencia
115,"¿Qué película o serie te ayudaría mentalmente a sobrevivir una emergencia?",Supervivencia
116,"¿Qué cosa de tu cocina sería tu mejor defensa si te persigue un oso?",Supervivencia
117,"¿Con qué cosa que tengas en el bolsillo crearías una herramienta útil?",Supervivencia
118,"¿Cuál sería tu primer error si quedaras solo en la selva durante una semana?",Supervivencia
119,"¿Qué animal doméstico llevarías como tu mejor aliado en la supervivencia?",Supervivencia
120,"¿Qué harías primero en tu lista de prioridades si quedas perdido en una isla?",Supervivencia
